keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>malay,Malay,Bahasa Melayu,มาเลย์,Tiếng Mã Lai,馬來語,馬來語
string-->>vietnamese,Vietnamese,Vietnam,เวียตนาม,Tiếng Việt,越南语,越南語
string-->>no_gif_support,No gif support from keypad,Tiada sokongan gif dari pad,No gif support from keypad,No gif support from keypad,No gif support from keypad,No gif support from keypad
string-->>nom_categories,categories,,,,,
string-->>step_no_one,Step 1/3,,,,,
string-->>step_no_two,Step 2/3,,,,,
string-->>step_no_three,Step 3/3,,,,,
string-->>thumbs_up_boss,Thumbs Up Boss!,,,,,
string-->>ideas_award,Ideas! Award,,,,,
string-->>my_nominations,My Nominations,,,,,
string-->>for_my_review,For My Review,,,,,
string-->>your_ideas,Your Ideas,,,,,
string-->>team_members_ideas,Team members Ideas,,,,,
string-->>nominate_yourself,Nominate Yourself,,,,,
string-->>txt_nominate_team_member,Nominate Team Member,,,,,
string-->>search_team_member,Search your idea by name,,,,,
string-->>txt_nominated_for,You have nominated,,,,,
string-->>txt_nominated_award_name,<b>Thumbs Up Boss! Award</b>,,,,,
string-->>txt_selected_team_mate,Selected Teammate,,,,,
string-->>hint_department_name,Enter Department Name,,,,,
string-->>hint_line_mnger_name,Enter Line Manager\'s Name,,,,,
string-->>human_resource_dept,Human Resources Dept,,,,,
string-->>line_resource_dept,%1$s Dept,,,,,
string-->>select_line_manager,Select Line manager,,,,,
string-->>number_of_contacts,you have %1$s contacts,,,,,
string-->>search_line_manager,Search by Line Manager,,,,,
string-->>search_functional_leader,Search by Functional Leader,,,,,
string-->>functional_leader,Select Functional Leader,,,,,
string-->>please_enter_title,Please Enter Title,,,,,
string-->>please_enter_description,Please Enter Description,,,,,
string-->>please_select_line_manager,Please Select Line Manager,,,,,
string-->>please_enter_fields,Please Enter All Fields,,,,,
string-->>please_upload_file,Please Upload File,,,,,
string-->>select_leader,Select Functional Leader *,,,,,
string-->>btn_approve,APPROVE,,,,,
string-->>btn_reject,REJECT,,,,,
string-->>reject_comment,Enter Comments for Rejection,,,,,
string-->>reject_comment_idea,Comments for Rejection,,,,,
string-->>hint_reject_comment,Enter comments,,,,,
string-->>approve_dialog,You have successfully approved this nomination,,,,,
string-->>select_functional_leader,Please Select Functional Leader,,,,,
string-->>upload_file,Upload File,,,,,
string-->>submit_dialog_confirm,Are you sure you want to submit the nomination under,,,,,
string-->>team_member_confirm,Are you sure you want to nominate,,,,,
string-->>explain_idea,Current Status,,,,,
string-->>ends_on,Ends on %1$s,,,,,
string-->>enter_above_fields,Please enter the above field,,,,,
string-->>enter_comments,Please enter comments,,,,,
string-->>thumbs_up_screen_search,"Search by alphabet, name, email or department",,,,,
string-->>screen_search_list_my_nomination,Search your nomination by name,,,,,
string-->>screen_search_list_for_my_review,Search your team member\'s nomination by name,,,,,
string-->>feed_pin_it,Pin this post to top,Selit post ini atas,Pin this post to top,Ghim bài đăng này lên đầu,Pin this post to top,Pin this post to top
string-->>feed_unpin_it,Unpin the post,Keluar Pin Siaran Ini,Unpin the post,Bỏ ghim bài đăng,Unpin the post,Unpin the post
string-->>feed_poll_unpin_it,Unpin the poll,Keluar Pin Undian Ini,Unpin the poll,Bỏ ghim cuộc thăm dò,Unpin the poll,Unpin the poll
string-->>feed_poll_pin_it,Pin this poll to top,Pin Undian Ini Ke Atas,Pin this poll to top,Ghim cuộc thăm dò này lên đầu,Pin this poll to top,Pin this poll to top
string-->>no_chart_data,No chart data available.,Data carta tidak tersedia,No chart data available.,Không có sẵn dữ liệu biểu đồ.,No chart data available.,No chart data available.
string-->>user_type,User Type,User Type,User Type,User Type,User Type,User Type
string-->>category,Category,Category,Category,Category,Category,Category
string-->>challenge_id,Challenge ID,Challenge ID,Challenge ID,Challenge ID,Challenge ID,Challenge ID
string-->>challenge_date,Challenge Date,Challenge Date,Challenge Date,Challenge Date,Challenge Date,Challenge Date
string-->>number,Number,Number,Number,Number,Number,Number
string-->>activity_date,Activity Date,Activity Date,Activity Date,Activity Date,Activity Date,Activity Date
string-->>customer_name,Customer Name,Customer Name,Customer Name,Customer Name,Customer Name,Customer Name
string-->>solution_portfolio,Solution Portfolio,Solution Portfolio,Solution Portfolio,Solution Portfolio,Solution Portfolio,Solution Portfolio
string-->>proof_of_evidence,Proof of Evidence,Proof of Evidence,Proof of Evidence,Proof of Evidence,Proof of Evidence,Proof of Evidence
string-->>notes,Notes,Notes,Notes,Notes,Notes,Notes
string-->>enter_any_remarks_regarding_the_trend_receipt,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention,This is a free text section. Please highlight anything that needs reviewers attention
string-->>claim_number,Claim Number,Claim Number,Claim Number,Claim Number,Claim Number,Claim Number
string-->>date_of_submission,Date of submission,Date of submission,Date of submission,Date of submission,Date of submission,Date of submission
string-->>upload_claim,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM,UPLOAD CLAIM
string-->>add_claim,Add Claim,Add Claim,Add Claim,Add Claim,Add Claim,Add Claim
string-->>enter_number,Enter Number,Enter Number,Enter Number,Enter Number,Enter Number,Enter Number
string-->>dd_MMM_yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy,dd MMM yyyy
string-->>trend_solution_portfolio_item_one,Cloud One,Cloud One,Cloud One,Cloud One,Cloud One,Cloud One
string-->>trend_solution_portfolio_item_two,Apex One,Apex One,Apex One,Apex One,Apex One,Apex One
string-->>trend_solution_portfolio_item_three,Network One (ATP),Network One (ATP),Network One (ATP),Network One (ATP),Network One (ATP),Network One (ATP)
string-->>trend_solution_portfolio_item_four,Network One (IPS),Network One (IPS),Network One (IPS),Network One (IPS),Network One (IPS),Network One (IPS)
string-->>trend_challenge_id,#2345,#2345,#2345,#2345,#2345,#2345
string-->>trend_number_info,"Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc.","Input number of Meetings Confirmed, eDemos, Testimonials etc."
string-->>yyyy_MM_dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd,yyyy-MM-dd
string-->>trend_receipt_on_boarding_help_message,Tap here to get started.,Tap here to get started.,Tap here to get started.,Tap here to get started.,Tap here to get started.,Tap here to get started.
string-->>tab_upload_claims,Claims,Claims,Claims,Claims,Claims,Claims
string-->>edit_claim,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM,EDIT CLAIM
string-->>uploading_claim,Uploading Claim,Uploading Claim,Uploading Claim,Uploading Claim,Uploading Claim,Uploading Claim
string-->>loading_claims,Loading Claims....,Loading Claims....,Loading Claims....,Loading Claims....,Loading Claims....,Loading Claims....
string-->>claims,CLAIMS,CLAIMS,CLAIMS,CLAIMS,CLAIMS,CLAIMS
string-->>no_claims_processing,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed,No claims are currently being processed
string-->>no_claims_uploaded,No Claims Found.,No Claims Found.,No Claims Found.,No Claims Found.,No Claims Found.,No Claims Found.
string-->>claim_upload_success,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted,Your claim is successfully submitted
string-->>claim_number_text,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020,Your claim number is\u0020
string-->>trend_setter_receipts_pop_up_message,Upload your claims,Upload your claims,Upload your claims,Upload your claims,Upload your claims,Upload your claims
string-->>github_token,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,,,,,
string-->>quantity_total,Total Qty :,,,,,
string-->>total_points_receipt,Total Points :,,,,,
string-->>quick_link_integration,Quick Links,Quick Links,Quick Links,Quick Links,Quick Links,Quick Links
string-array-->>citizenship_array-->>0,Singapore Citizen,Warganegara Singapura,,Công dân Singapore,新加坡公民,新加坡公民
string-array-->>citizenship_array-->>1,Singapore Permanent Resident,Residen Tetap Singapura,,Thường trú nhân Singapore,新加坡永久居民,新加坡永久居民
string-array-->>citizenship_array-->>2,Foreigner requiring work pass to work in Singapore,Warga asing yang memerlukan pas pekerja untuk bekerja di Singapura,,Người nước ngoài yêu cầu giấy thông hành để làm việc tại Singapore,需要工作准证,需要工作准证
string-array-->>position_array-->>0,Principal,Pengetua,,Hiệu trưởng,校长,校长
string-array-->>position_array-->>1,Deputy Centre Lead,Timbalan Pusat,,Phó trung tâm trưởng,副中心领导,副中心领导
string-array-->>position_array-->>2,English Teacher,Guru bahasa ingeris,,Giáo viên Tiếng Anh,英语教师,英语教师
string-array-->>position_array-->>3,Chinese Teacher,Guru bahasa Cinar,,Giáo viên Tiếng Trung,汉语教师,汉语教师
string-array-->>position_array-->>4,Malay Teacher,Guru bahasa Melayu,,Giáo viên Tiếng Malaysia,马来语教师,马来语教师
string-array-->>position_array-->>5,Tamil Teacher,Guru bahasa Tamil,,Giáo viên tiếng Tamil,泰米尔语教师,泰米尔语教师
string-array-->>position_array-->>6,Infant Care Teacher,Guru Penjagaan Bayi,,Giáo viên Chăm sóc Trẻ sơ sinh,婴儿护理教师,婴儿护理教师
string-array-->>position_array-->>7,Student Care Supervisor,Penyelia Penjagaan Pelajar,,Giám sát viên Chăm sóc Học sinh,学生护理主管,学生护理主管
string-array-->>position_array-->>8,Student Care Teacher,Guru Penjagaan Pelajar,,Giáo viên Chăm sóc Học sinh,学生护理教师,学生护理教师
string-array-->>position_array-->>9,Trainee Teacher,Guru Pelatih,,Giáo viên thực tập,实习教师,实习教师
string-array-->>position_array-->>10,Trainee Infant Care Teacher,Guru Penjagaan Bayi Pelatih,,Giáo viên Chăm sóc Trẻ sơ sinh thực tập,实习婴儿护理教师,实习婴儿护理教师
string-array-->>position_array-->>11,Assistant Teacher,Penolong Guru,,Trợ lý giáo viên,助理教师,助理教师
string-array-->>position_array-->>12,Center Attendant (Cook),Pusat Atendan (PeMasak),,Nhân viên trực tại Trung tâm (Thực dưỡng),中心服务员（厨师）,中心服务员（厨师）
string-array-->>position_array-->>13,Center Attendant (Cleaner),Pusat Atendan PemBersih),,Nhân viên trực tại Trung tâm (Vệ sinh),中心服务员（清洁工）,中心服务员（清洁工）
string-array-->>position_array-->>14,Others,Lain lain,,Khác,别人,别人
string-array-->>highest_academic_qualification_array-->>0,Master Degree,Ijazah Sarjana,,Bằng thạc sĩ,硕士学位,硕士学位
string-array-->>highest_academic_qualification_array-->>1,Bachelor Degree,Ijazah Sarjana Muda,,Bằng cử nhân,本科,本科
string-array-->>highest_academic_qualification_array-->>2,Diploma,Diploma,,Bằng cấp,文凭,文凭
string-array-->>highest_academic_qualification_array-->>3,NITEC,NITEC,,Chứng chỉ Giáo dục Kỹ thuật của Viện quốc gia (NITEC),NITEC,NITEC
string-array-->>highest_academic_qualification_array-->>4,GCE A Level,GCE A Level,,Chứng chỉ Giáo dục Phổ thông Bậc Cao (GCE A-level),GCE A 级别,GCE A 级别
string-array-->>highest_academic_qualification_array-->>5,GCE N/O Level,GCE N/O Level,,Bằng tốt nghiệp trung học cơ sở (GCE N/O Level),GCE N/O 级别,GCE N/O 级别
string-array-->>highest_academic_qualification_array-->>6,Secondary 2 and below,Sekunder 2 dan ke bawah,,Cấp 2 trở xuống,中学 2 及以下,中学 2 及以下
string-array-->>highest_academic_qualification_array-->>7,Others,Lain lain,,Khác,别人,别人
