keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-array-->>province_state_names-->>20,Nakhon ratchasima,ناخون راتشاسيما,,Nakhon ratchasima,นครราชสีมา,,,
string-array-->>province_state_names-->>21,Nakhon si thammarat,ناخون سي ثامارات,,Nakhon si thammarat,นครศรีธรรมราช,,,
string-array-->>province_state_names-->>22,Nakhon sawan,ناخون صوان,,Nakhon sawan,นครสวรรค์,,,
string-array-->>province_state_names-->>23,Nonthaburi,نونثابوري,,Nonthaburi,นนทบรุี,,,
string-array-->>province_state_names-->>24,Narathiwat,ناراثيوات,,Narathiwat,นราธวิาส,,,
string-array-->>province_state_names-->>25,Nan,نان,,Nan,น่าน,,,
string-array-->>province_state_names-->>26,Buri ram,كبش بوري,,Buri ram,บรุีรัมย์,,,
string-array-->>province_state_names-->>27,Pathum thani,باثوم ثاني,,Pathum thani,ปทุมธานี,,,
string-array-->>province_state_names-->>28,Prachuap khiri khan,براشواب خيرى خان,,Prachuap khiri khan,ประจวบคีรีขันธ์,,,
string-array-->>province_state_names-->>29,Prachinburi,براتشينبوري,,Prachinburi,ปราจีนบรุี,,,
string-array-->>province_state_names-->>30,Pattani,باتاني,,Pattani,ปัตตานี,,,
string-array-->>province_state_names-->>31,Ayutthaya,أيوثايا,,Ayutthaya,พระนครศรีอยุธยา,,,
string-array-->>province_state_names-->>32,Phayao,فاياو,,Phayao,พะเยา,,,
string-array-->>province_state_names-->>33,Phangnga,فانغ نغا,,Phangnga,พังงา,,,
string-array-->>province_state_names-->>34,Phatthalung,فاتثالونج,,Phatthalung,พัทลุง,,,
string-array-->>province_state_names-->>35,phichit,فيشيت,,phichit,พิจิตร,,,
string-array-->>province_state_names-->>36,Phitsanulok,فيتسانولوك,,Phitsanulok,พิษณุโลก,,,
string-array-->>province_state_names-->>37,Phetchaburi,فيتشابوري,,Phetchaburi,เพชรบรุี,,,
string-array-->>province_state_names-->>38,Phetchabun,فيتشابون,,Phetchabun,เพชรบรูณ์,,,
string-array-->>province_state_names-->>39,Phrae,فراي,,Phrae,แพร่,,,
string-array-->>province_state_names-->>40,Phuket,فوكيت,,Phuket,ภูเก็ต,,,
string-array-->>province_state_names-->>41,Mahasarakham,محاساراخام,,Mahasarakham,มหาสารคาม,,,
string-array-->>province_state_names-->>42,Mukdahan,مكداهان,,Mukdahan,มุกดาหาร,,,
string-array-->>province_state_names-->>43,Mae hong son,نجل ماي هونغ,,Mae hong son,แม่ฮ่องสอน,,,
string-array-->>province_state_names-->>44,Yasothon,ياسوثون,,Yasothon,ยโสธร,,,
string-array-->>province_state_names-->>45,Yala,يالا,,Yala,ยะลา,,,
string-array-->>province_state_names-->>46,Roi et,روي وآخرون,,Roi et,รอ้ยเอ็ด,,,
string-array-->>province_state_names-->>47,Ranong,رانونج,,Ranong,ระนอง,,,
string-array-->>province_state_names-->>48,Rayong,رايونغ,,Rayong,ระยอง,,,
string-array-->>province_state_names-->>49,Rachaburi,راتشابوري,,Rachaburi,ราชบรุี,,,
string-array-->>province_state_names-->>50,Lopburi,لوبوري,,Lopburi,ลพบรุี,,,
string-array-->>province_state_names-->>51,Loei,لوي,,Loei,เลย,,,
string-array-->>province_state_names-->>52,Lampang,لامبانج,,Lampang,ลําปาง,,,
string-array-->>province_state_names-->>53,Lamphun,لامفون,,Lamphun,ลําพูน,,,
string-array-->>province_state_names-->>54,Srisaket,سريساكيت,,Srisaket,ศีรสะเกษ,,,
string-array-->>province_state_names-->>55,Sakonnakhon,ساكوناخون,,Sakonnakhon,สกลนคร,,,
string-array-->>province_state_names-->>56,Songkhla,سونغكلا,,Songkhla,สงขลา,,,
string-array-->>province_state_names-->>57,Satun,ساتون,,Satun,สตูล,,,
string-array-->>province_state_names-->>58,Samutprakan,ساموتبراكان,,Samutprakan,สมุทรปราการ,,,
string-array-->>province_state_names-->>59,Samut songkhram,ساموت سونغخرام,,Samut songkhram,สมุทรสงคราม,,,
string-array-->>province_state_names-->>60,Samut sakhon,ساموت ساخون,,Samut sakhon,สมุทรสาคร,,,
string-array-->>province_state_names-->>61,Sra kaeo,سرا كايو,,Sra kaeo,สระแกว้,,,
string-array-->>province_state_names-->>62,Saraburi,سارابوري,,Saraburi,สระบรุี,,,
string-array-->>province_state_names-->>63,Singburi,سينغبوري,,Singburi,สิงห์บรุี,,,
string-array-->>province_state_names-->>64,Sukhothai,سوخوثاي,,Sukhothai,สุโขทัย,,,
string-array-->>province_state_names-->>65,Suphanburi,سوفان بوري,,Suphanburi,สุพรรณบรุี,,,
string-array-->>province_state_names-->>66,Surat thani,سوفان بوري,,Surat thani,สุราษฎร์ธานี,,,
string-array-->>province_state_names-->>67,Surin,سورين,,Surin,สุรินทร์,,,
string-array-->>province_state_names-->>68,Nongkhai,نونغ خاي,,Nongkhai,หนองคาย,,,
string-array-->>province_state_names-->>69,Nongbualamphu,Nongbualamphu,,Nongbualamphu,หนองบวัลําภู,,,
string-array-->>province_state_names-->>70,Angthong,أنجثونج,,Angthong,อ่างทอง,,,
string-array-->>province_state_names-->>71,Amnatcharoen,أمنات تشاروين,,Amnatcharoen,อํานาจเจริญ,,,
string-array-->>province_state_names-->>72,Udonthani,أودونثاني,,Udonthani,อุดรธานี,,,
string-array-->>province_state_names-->>73,Uttaradit,أوتاراديت,,Uttaradit,อุตรดิตถ์,,,
string-array-->>province_state_names-->>74,Uthaithani,يوثاني,,Uthaithani,อุทัยธานี,,,
string-array-->>province_state_names-->>75,Uboratchathani,Uboratchathani,,Uboratchathani,อุบลราชธานี,,,
string-array-->>province_state_names-->>76,Bueng Kan,بوينج كان,,Bueng Kan,บงึกาฬ,,,
string-array-->>province_state_names_english-->>0,Krabi,كرابي,,Krabi,,,,
string-array-->>province_state_names_english-->>1,Bangkok,بانكوك,,Bangkok,,,,
string-array-->>province_state_names_english-->>2,Kanchanaburi,كانشانابوري,,Kanchanaburi,,,,
string-array-->>province_state_names_english-->>3,Kalasin,كلاسين,,Kalasin,,,,
string-array-->>province_state_names_english-->>4,Kamphaeng phet,كامبينغ فيت,,Kamphaeng phet,,,,
string-array-->>province_state_names_english-->>5,Khon kean,خون كاين,,Khon kean,,,,
string-array-->>province_state_names_english-->>6,Chanthaburi,شانثابوري,,Chanthaburi,,,,
string-array-->>province_state_names_english-->>7,Chachoengsao,تشاتشونجساو,,Chachoengsao,,,,
string-array-->>province_state_names_english-->>8,Chon buri,تشون بوري,,Chon buri,,,,
string-array-->>province_state_names_english-->>9,Chai nat,تشاي نات,,Chai nat,,,,
string-array-->>province_state_names_english-->>10,Chai yaphum,تشاي يافوم,,Chai yaphum,,,,
string-array-->>province_state_names_english-->>11,Chum phon,تشام فون,,Chum phon,,,,
string-array-->>province_state_names_english-->>12,Chiang rai,شيانج راي,,Chiang rai,,,,
string-array-->>province_state_names_english-->>13,Chiang mai,شيانغ ماي,,Chiang mai,,,,
string-array-->>province_state_names_english-->>14,Trang,ترانج,,Trang,,,,
string-array-->>province_state_names_english-->>15,Trat,ترات,,Trat,,,,
string-array-->>province_state_names_english-->>16,Tak,تاك,,Tak,,,,
string-array-->>province_state_names_english-->>17,Nakhon nayok,ناخون نايوك,,Nakhon nayok,,,,
string-array-->>province_state_names_english-->>18,Nakhon pathom,ناخون باتوم,,Nakhon pathom,,,,
string-array-->>province_state_names_english-->>19,Nakhon phanom,ناخون فانوم,,Nakhon phanom,,,,
string-array-->>province_state_names_english-->>20,Nakhon ratchasima,ناخون راتشاسيما,,Nakhon ratchasima,,,,
string-array-->>province_state_names_english-->>21,Nakhon si thammarat,ناخون سي ثامارات,,Nakhon si thammarat,,,,
string-array-->>province_state_names_english-->>22,Nakhon sawan,ناخون صوان,,Nakhon sawan,,,,
string-array-->>province_state_names_english-->>23,Nonthaburi,نونثابوري,,Nonthaburi,,,,
string-array-->>province_state_names_english-->>24,Narathiwat,ناراثيوات,,Narathiwat,,,,
string-array-->>province_state_names_english-->>25,Nan,نان,,Nan,,,,
string-array-->>province_state_names_english-->>26,Buri ram,كبش بوري,,Buri ram,,,,
string-array-->>province_state_names_english-->>27,Pathum thani,باثوم ثاني,,Pathum thani,,,,
string-array-->>province_state_names_english-->>28,Prachuap khiri khan,براشواب خيرى خان,,Prachuap khiri khan,,,,
string-array-->>province_state_names_english-->>29,Prachinburi,براتشينبوري,,Prachinburi,,,,
string-array-->>province_state_names_english-->>30,Pattani,باتاني,,Pattani,,,,
string-array-->>province_state_names_english-->>31,Ayutthaya,أيوثايا,,Ayutthaya,,,,
string-array-->>province_state_names_english-->>32,Phayao,فاياو,,Phayao,,,,
string-array-->>province_state_names_english-->>33,Phangnga,فانغ نغا,,Phangnga,,,,
string-array-->>province_state_names_english-->>34,Phatthalung,فاتثالونج,,Phatthalung,,,,
string-array-->>province_state_names_english-->>35,phichit,فيشيت,,phichit,,,,
string-array-->>province_state_names_english-->>36,Phitsanulok,فيتسانولوك,,Phitsanulok,,,,
string-array-->>province_state_names_english-->>37,Phetchaburi,فيتشابوري,,Phetchaburi,,,,
string-array-->>province_state_names_english-->>38,Phetchabun,فيتشابون,,Phetchabun,,,,
string-array-->>province_state_names_english-->>39,Phrae,فراي,,Phrae,,,,
string-array-->>province_state_names_english-->>40,Phuket,فوكيت,,Phuket,,,,
string-array-->>province_state_names_english-->>41,Mahasarakham,محاساراخام,,Mahasarakham,,,,
string-array-->>province_state_names_english-->>42,Mukdahan,مكداهان,,Mukdahan,,,,
string-array-->>province_state_names_english-->>43,Mae hong son,نجل ماي هونغ,,Mae hong son,,,,
string-array-->>province_state_names_english-->>44,Yasothon,ياسوثون,,Yasothon,,,,
string-array-->>province_state_names_english-->>45,Yala,يالا,,Yala,,,,
string-array-->>province_state_names_english-->>46,Roi et,روي وآخرون,,Roi et,,,,
string-array-->>province_state_names_english-->>47,Ranong,رانونج,,Ranong,,,,
string-array-->>province_state_names_english-->>48,Rayong,رايونغ,,Rayong,,,,
string-array-->>province_state_names_english-->>49,Rachaburi,راتشابوري,,Rachaburi,,,,
string-array-->>province_state_names_english-->>50,Lopburi,لوبوري,,Lopburi,,,,
string-array-->>province_state_names_english-->>51,Loei,لوي,,Loei,,,,
string-array-->>province_state_names_english-->>52,Lampang,لامبانج,,Lampang,,,,
string-array-->>province_state_names_english-->>53,Lamphun,لامفون,,Lamphun,,,,
string-array-->>province_state_names_english-->>54,Srisaket,سريساكيت,,Srisaket,,,,
string-array-->>province_state_names_english-->>55,Sakonnakhon,ساكوناخون,,Sakonnakhon,,,,
string-array-->>province_state_names_english-->>56,Songkhla,سونغكلا,,Songkhla,,,,
string-array-->>province_state_names_english-->>57,Satun,ساتون,,Satun,,,,
string-array-->>province_state_names_english-->>58,Samutprakan,ساموتبراكان,,Samutprakan,,,,
